"","Venue","Category","Genre","Capacity","Standing_E","Contact_In","Descriptio","geometry","lat","lon"
"1","404 Bar & Grill","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",150,"Both","(615) 331-8944","A hip atmosphere with diverse menu choices",c(-86.7311599792495, 36.0867980105044),36.0867980105044,-86.7311599792495
"2","Phat Bites Deli & Bar","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",200,"Both","(615) 871-4055","Phat Sandwiches, Wraps, Salads, Bongo Java Coffee, Espresso, Bar, Live Music, Open Mic, Karaoke and more!",c(-86.6657699864627, 36.1688730198114),36.1688730198114,-86.6657699864627
"3","The Local Nashville","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",200,"Both","(615) 320-4339","A neighborhood bar with a full kitchen and love music.",c(-86.8126149790468, 36.1459260093327),36.1459260093327,-86.8126149790468
"4","Drifters BBQ","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",250,"Both","(615) 262-2776","Family friendly BBQ joint with live music and an outdoor patio.",c(-86.7508349875018, 36.176646019128),36.176646019128,-86.7508349875018
"5","The Listening Room Caf�","Revenue dependent on live musical events","Multi-Genre",250,"Both","(615) 259-3600","A songwriter-oriented venue with great food, event space and more.",c(-86.7721199923389, 36.1538019805824),36.1538019805824,-86.7721199923389
"6","Rock Bottom","Substantial revenue from restaurant or bar outside of live music","Has Primary Genre",297,"Both","(615) 251-4677","Craft brews, live music. A broadway bar with local flavor.",c(-86.7747440314709, 36.1616890159664),36.1616890159664,-86.7747440314709
"7","Swingin' Doors Saloon","Substantial revenue from restaurant or bar outside of live music","Has Primary Genre",350,"Both","(615) 736-5050","Classic broadway bar ""where country is king.""",c(-86.7770600346988, 36.1604010107365),36.1604010107365,-86.7770600346988
"8","City Winery","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",420,"Both","(615) 324-1033","World class wine, food, and music.",c(-86.7764481966503, 36.153539112451),36.153539112451,-86.7764481966503
"9","Hard Rock Cafe","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",552,"Both","�(615) 742-9900","Classic hard rock experience with open air terrace and live concert venue.",c(-86.774409108092, 36.1622674371935),36.1622674371935,-86.774409108092
"10","General Jackson Showboat","Other","Multi-Genre",1000,"Both","(615) 458-3900","Showboat known for its in-house musicians and for events like Jazz on the Cumberland.",c(-86.6961677692399, 36.2105473650726),36.2105473650726,-86.6961677692399
"11","Grand Ole Opry","Revenue dependent on live musical events","Has Primary Genre",2362,"Both","(615) 871-6779","Historic roots, center of Nashville's music scene and country music itself.",c(-86.6915630302463, 36.2071779817838),36.2071779817838,-86.6915630302463
"12","Carl Black Chevy Woods Amphitheater at Fontanel","Auditorium/Stadium/Arena/Amphitheater","Multi-Genre",4500,"Neither","(615) 724-1531","Outdoor music venue with state of the art sound in an authentic setting",c(-86.8302224526889, 36.2582768767659),36.2582768767659,-86.8302224526889
"13","Moxy Nashville","Hotel","Multi-Genre",200,"Both","(615) 385-1911","Hotel off of the world famous Music Row with deep musical influences",c(-86.7993040135596, 36.1363959945232),36.1363959945232,-86.7993040135596
"14","Union Station Hotel - Autograph Collection by Marriott","Hotel","Multi-Genre",500,"Both","(615) 726-1001","This Marriott hotel in Nashville is an iconic landmark, blending modern conveniences with warm classical elegance",c(-86.7848329933589, 36.1572349983818),36.1572349983818,-86.7848329933589
"15","Chaffin's Barn Dinner Theatre","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",296,"Both","(615) 646-9977
","Dinner theater in a converted red barn open since the 1960s offering plays, musicals & a buffet.",c(-86.9601649730591, 36.0435680092105),36.0435680092105,-86.9601649730591
"16","Chevy-Geo Theatre","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",0,"Both","Unavailable","Unavailable",c(-86.6915630302463, 36.2071779817838),36.2071779817838,-86.6915630302463
"17","CMA Theater","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",800,"Both","(615) 760-6556","Just a few steps from the Country Music Hall of Fame, and excellent and authentic venue for country music.",c(-86.776017997054, 36.15799301578),36.15799301578,-86.776017997054
"18","Crazytown","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",700,"Both","(615) 254-5460","Drinks & classic American eats are served in a hip, three-level music venue with vintage decor.",c(-86.776582015085, 36.1616160098733),36.1616160098733,-86.776582015085
"19","Dawg House Saloon","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",350,"Both","(615) 864-7393
","Upbeat sports bar & live-music venue serving creative hot dogs, pizza & other familiar pub grub.",c(-86.7903160152057, 36.1531409838922),36.1531409838922,-86.7903160152057
"20","Decker & Dryer","Hotel","Multi-Genre",0,"Neither","(629) 203-7586","Premium, upscale, approachable bar with live music.",c(-86.7803459929563, 36.1553069930132),36.1553069930132,-86.7803459929563
"21","Dee's Country Cocktail Lounge","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",0,"Neither","(615) 852-8827","A 70s inspired country bar only 10 minutes from downtown Nashville",c(-86.7206650004127, 36.266269999645),36.266269999645,-86.7206650004127
"22","Dick's Last Resort","Substantial revenue from restaurant or bar outside of live music","Multi-Genre",0,"Neither","(615) 800-8894","A ""rowdy roadhouse environment"" with locations all over the US.",c(-86.7758019953474, 36.1636880163638),36.1636880163638,-86.7758019953474
