"","name","address_admin","IMV","music_space"
"1","3rd & Lindsley","805 PRESIDENT RONALD REAGAN WAY","Indep. Owned and Operated","Music Space"
"2","404 Bar & Grill","404 ELYSIAN FIELDS RD","Indep. Owned and Operated","Music Space"
"3","Drkmttr Collective","1111 DICKERSON PIKE","Indep. Owned and Operated","Music Space"
"4","Jane's Hideaway","403 GALLATIN AVE","Indep. Owned and Operated","Music Space"
"5","Layla's Honky Tonk","418 BROADWAY","Indep. Owned and Operated","Music Space"
"6","McNamara's Irish Pub","2740 OLD LEBANON PIKE","Indep. Owned and Operated","Music Space"
"7","Nashville Jazz Workshop","1012 BUCHANAN ST","Indep. Owned and Operated","Music Space"
"8","Nectar Urban Cantina","206 MCGAVOCK PIKE","Indep. Owned and Operated","Music Space"
"9","Play Dance Bar","1517 CHURCH ST","Indep. Owned and Operated","Music Space"
"10","Rosemary and Beauty Queen (bar); Pink Spiders (band)","1102 FORREST AVE","Indep. Owned and Operated","Music Space"
"11","Rudy's Jazz Room","600 9TH AVE S","Indep. Owned and Operated","Music Space"
"12","Skull's Rainbow Club","222 4TH AVE N","Indep. Owned and Operated","Music Space"
"13","Sonny's Patio Pub and Refuge","1318 6TH AVE N","Indep. Owned and Operated","Music Space"
"14","The 5 Spot","1006 FORREST AVE","Indep. Owned and Operated","Music Space"
"15","The Basement","1604 8TH AVE S","Indep. Owned and Operated","Music Space"
"16","The Bluebird Cafe","4104 A HILLSBORO PIKE","Indep. Owned and Operated","Music Space"
"17","The Cobra","2511 GALLATIN AVE","Indep. Owned and Operated","Music Space"
"18","The East Room","2412 GALLATIN AVE","Indep. Owned and Operated","Music Space"
"19","The Electric Jane","1221 DIVISION ST","Indep. Owned and Operated","Music Space"
"20","The End","2219 ELLISTON PL","Indep. Owned and Operated","Music Space"
"21","The Lipstick Lounge","1400 WOODLAND ST","Indep. Owned and Operated","Music Space"
"22","The Listening Room","618 4TH AVE S","Indep. Owned and Operated","Music Space"
"23","The Station Inn","402 12TH AVE S","Indep. Owned and Operated","Music Space"
"24","Twelve Keys Saloon","4719 ANDREW JACKSON PKWY","Indep. Owned and Operated","Music Space"
"25","Dawg House Saloon","1522 DEMONBREUN ST","Indep. Owned and Operated","Occasional Music Space"
"26","Decker & Dyer","807 CLARK PL","Indep. Owned and Operated","Occasional Music Space"
"27","Deep Tropics (Music Festival)","900 ROSA L PARKS BLVD","Indep. Owned and Operated","Occasional Music Space"
