name,address_admin,APN,description
404 Bar & Grill,404 ELYSIAN FIELDS RD,13314008900,A hip atmosphere with diverse menu choices
6th and Peabody,423 6TH AVE S,09310018800,Beer Garden with Brewery and Live Music
Acme Feed & Seed,101 BROADWAY,09306210200,"Multilevel venue with creative cuisine, cocktails, live music & special events plus a rooftop patio, dedicated to preserving Nashville's unique cultural and musical legacy, identity, and community"
AJ's Good Time Bar,421 BROADWAY,09306310800,"American singer Alan Jackson's urban honky-tonk offers 3 floors, live country music & a rooftop bar."
Aloft Nashville West End,1719 WEST END AVE,09216017400,Loft-inspired hotel close to the downtown bar & music scene featuring live music in the hotel bar.
American Legion Post 82,3204 GALLATIN PIKE,07206025400,"American Legion Post, a veterans organization, that hosts nightly music events"
Analog at Hutton Hotel,1808 WEST END AVE,09216043400,Cocktail lounge and club that features live music and entertainment in the Hutten Hotel. Their entertainment ranges from established acts and discovery concerts for up and coming artists.
Bar Sovereign,514 REP JOHN LEWIS WAY S,09310034700,Bar Sovereign is an eclectic cocktail bar known for trying to set itself apart from any other bar in Nashville. 
Barbershop Theater,4003 INDIANA AVE,09112021700, It is an affordable art space with a 50-75 seat house. It hosts performances from artists and theater companies from all around the Nashville area
Barlines (Omni Nashville Hotel),250 REP JOHN LEWIS WAY S,093100B00300CO,Bar and music venue with jumbo flat screen TVs and music 7 days a week and an award-winning menu of delectable Southern-inspired dishes and hand-crafted Tennessee libations.
Big Jimmy's,109 2ND AVE N,09306204700,Big Jimmy's is a burger resturant that also has live music performances.
Big Shotz,115 2ND AVE N,09306205000,BigShotz provides locals and tourists live entertainment daily-a mix of country and southern rock and the lowest beer prices downtown.
Bobby's Idle Hour Tavern,9 MUSIC SQ S,10404013000,Bobby's Idle Hour Tavern is Nashville's premier Americana venue and main hang for some of the best songwriters in town.
Bongo Java After Hours Theatre,2007 BELMONT BLVD,10412028200,"A small, intimate theater that operates above Nashville's oldest and treasured coffee house Bongo Java, hosting musical events, theatre, and workshops and classes for the Nashville community"
Bootleggers Inn,207 BROADWAY,09306404600,An intimate moonshine bar located in the heart of Nashville that combines the history of prohibition with music.
Bowie's,174 3RD AVE N,09306200200,Rock N Roll music venues and restaurant in downtown Nashville.
Bridgestone Arena,501 BROADWAY,09306000800,"Bridgestone Arena is a multi-purpose venue in downtown Nashville, Tennessee. Completed in 1996, it is the home of the Nashville Predators of the National Hockey League."
Cafe Coco,210 LOUISE AVE,09215010600,"This funky coffeehouse is open around the clock & features music, munchies & patio seating."
Caney Fork River Valley Grille,2400 MUSIC VALLEY DR,06200011800,Family friendly menu and live music.
Commodore Grille (Holiday Inn Vanderbilt),2613 WEST END AVE,10403006300,"Well known for it's nightly songwriter's nights, this hotel grille is a haven for singer/songwriters."
Corner Bar at Elliston Place,2200 ELLISTON PL,09215011300,The Corner Bar at Elliston Place offers pool tables and darts and karaoke. Is the Midtown late-night spot 
