"","name","address_admin","APN","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","url","zip","county","city","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","y","x","interdisciplinarity_ord","event_promotion_ord","community_focus_ord","creativity_ord","experimentation_ord","ownership_structure_ord","independent_booking_ord"
"1","Example Venue","402 12TH AVE S","9313058100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1525861232894,-86.7844400713344,NA,NA,NA,NA,NA,0,0
"2","12 South Taproom & Grill","2318 12TH AVE S","10513021100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.126469479008,-86.7888474802272,NA,NA,NA,NA,NA,0,0
"3","404 Bar & Grill","404 ELYSIAN FIELDS RD","13314008900","","1. Yes","150","3. Never","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely","","4. Very Likely","0","0","0","A hip atmosphere with diverse menu choices","","info@404barandgrill.com","(615) 331-8944","No website available","37211","Davidson","Nashville","No Genre Specifed","0","0","0","0","0","0","0","0","0","0","0","0","0",36.0867459635385,-86.7311009742086,3,3,2,NA,4,1,0
"4","6th and Peabody","423 6TH AVE S","9310018800","","1. Yes","","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","2. Not too likely","4. Very Likely","","3. Somewhat likely","0","0","0","Beer Garden with Brewery and Live Music","","nash@osdistillery.com","(615) 647-8272","https://6thandpeabody.com/","37203","Davidson","Nashville","No Genre Specifed","0","0","0","0","0","0","0","0","0","0","0","0","0",36.1549571127237,-86.7770779937017,3,3,4,NA,3,1,0
"5","Acme Feed & Seed","101 BROADWAY","9306210200","Marcus Dowling","1. Yes","500","2. Sometimes","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","4. Very Likely","","3. Somewhat likely","0","0","0","Multilevel venue with creative cuisine, cocktails, live music & special events plus a rooftop patio, dedicated to preserving Nashville's unique cultural and musical legacy, identity, and community","","marketing@theacmenashville.com","(615) 915-0888","https://www.acmefeedandseed.com/","37201","Davidson","Nashville","No Genre Specifed","0","0","0","0","0","0","0","0","0","0","0","0","0",36.1618880861058,-86.7743178542158,3,3,4,NA,3,1,0
"6","AJ's Good Time Bar","421 BROADWAY","9306310800","Marcus Dowling","1. Yes","455","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely","","1.Not At All Likely","0","0","0","American singer Alan Jackson's urban honky-tonk offers 3 floors, live country music & a rooftop bar.","","info@ajsgoodtimebar.com","(615) 678-4808","https://www.ajsgoodtimebar.com/","37203","Davidson","Nashville","Country","0","0","0","1","0","0","1","0","0","0","0","0","0",36.1604318720598,-86.777814255199,1,3,2,NA,1,1,0
"7","Aloft Nashville West End","1719 WEST END AVE","9216017400","","2. No","Null","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Loft-inspired hotel close to the downtown bar & music scene featuring live music in the hotel bar.","","","(615) 329-4200","https://www.marriott.com/en-us/hotels/bnawl-aloft-nashville-west-end/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.152661945071,-86.795413048273,1,1,1,NA,1,0,0
"8","American Legion Post 82","3204 GALLATIN PIKE","7206025400","Marcus Dowling","1. Yes","120","2. Sometimes","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","American Legion Post, a veterans organization, that hosts nightly music events","","","(615) 228-3598","https://www.post82.org/","37216","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.2058088622012,-86.7356558300848,1,3,3,NA,1,1,0
"9","Analog at Hutton Hotel","1808 WEST END AVE","9216043400","Eric Holt","2. No","300","2. Sometimes","3. 11-20 Events per month","2. 3-10 Years","","3. Somewhat likely","3. Somewhat likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","0","0","Cocktail lounge and club that features live music and entertainment in the Hutten Hotel. Their entertainment ranges from established acts and discovery concerts for up and coming artists.","","analog@huttonhotel.com","(615) 340-9333","https://www.analognashville.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1528693144705,-86.7970821692225,3,3,4,NA,4,0,0
"10","Bad Axe Throwing Nashville","648 FOGG ST","9314032100","","2. No","","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Bad Axe Throwing is an indoor axe throwing venue located in Nashville, Tennessee. It offers a unique and exciting experience for people of all skill levels who want to try their hand at axe throwing. It is a popular destination for group events, such as birthday parties, bachelor/bachelorette parties, corporate team-building events, and other special occasions.","","","(629) 203-6158","https://badaxethrowing.com/locations/axe-throwing-nashville/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1511155695785,-86.7773965322608,1,1,1,NA,1,0,0
