Venue_name,APN_Address_stringr,APN_Address,match_method,notes
Example Venue,402 12TH AVE S,402 12TH AVE S,APN,
12 South Taproom & Grill,2318 12TH AVE S,2318 12TH AVE S,APN,
404 Bar & Grill,404 ELYSIAN FIELDS RD,404 ELYSIAN FIELDS RD,APN,
6th and Peabody,423 6TH AVE S,423 6TH AVE S,APN,
Acme Feed & Seed,101 BROADWAY,101 BROADWAY,APN,
AJ's Good Time Bar,421 BROADWAY,421 BROADWAY,APN,
Aloft Nashville West End,1719 WEST END AVE,1719 WEST END AVE,APN,
American Legion Post 82,3204 GALLATIN PIKE,3204 GALLATIN PIKE,APN,
Analog at Hutton Hotel,1808 WEST END AVE,1808 WEST END AVE,APN,
Bad Axe Throwing Nashville,648 FOGG ST,648 FOGG ST,APN,
Bar Sovereign,514 REP JOHN LEWIS WAY S,514 REP JOHN LEWIS WAY S,APN,
Barbershop Harmony Society,110 7TH AVE N,110 7TH AVE N,APN,
Barbershop Theater,4003 INDIANA AVE,4003 INDIANA AVE,APN,
Barlines (Omni Nashville Hotel),250 REP JOHN LEWIS WAY S,250 REP JOHN LEWIS WAY S,APN,
Big Jimmy's,109 2ND AVE N,109 2ND AVE N,APN,
Big Shotz,115 2ND AVE N,115 2ND AVE N,APN,
Bobby's Idle Hour Tavern,9 MUSIC SQ S,9 MUSIC SQ S,APN,
Bongo Java After Hours Theatre,2007 BELMONT BLVD,2007 BELMONT BLVD,APN,
Bootleggers Inn,207 BROADWAY,207 BROADWAY,APN,
Bowie's,174 3RD AVE N,174 3RD AVE N,APN,
Bridgestone Arena,501 BROADWAY,501 BROADWAY,APN,
Cafe Coco,210 LOUISE AVE,210 LOUISE AVE,APN,
Caney Fork River Valley Grille,2400 MUSIC VALLEY DR,2400 MUSIC VALLEY DR,APN,
Cannery Hall (to be opened),1 CANNERY ROW,1 CANNERY ROW,APN,
Carol Ann<92>s,407 MURFREESBORO PIKE,407 MURFREESBORO PIKE,APN,
Chief's on Broadway,200 BROADWAY,200 BROADWAY,APN,
Commodore Grille (Holiday Inn Vanderbilt),2613 WEST END AVE,2613 WEST END AVE,APN,
Corner Bar at Elliston Place,2200 ELLISTON PL,2200 ELLISTON PL,APN,
Cross-Eyed Critters Watering Hole,101 20TH AVE N,101 20TH AVE N,APN,
Crow's Nest,2221 BANDYWOOD DR,2221 BANDYWOOD DR,APN,
Dawg House Saloon,1522 DEMONBREUN ST,1522 DEMONBREUN ST,APN,
Decker & Dyer,807 CLARK PL,807 CLARK PL,APN,
Dee's Country Cocktail Lounge,102 E PALESTINE AVE,102 E PALESTINE AVE,APN,
Dierks Bentley's Whiskey Row Nashville,400 BROADWAY,400 BROADWAY,APN,
Doc Holidays,112 2ND AVE N,112 2ND AVE N,APN,
Dream Nightclub,210 4TH AVE N,210 4TH AVE N,APN,
Drkmttr Collective,1111 DICKERSON PIKE,1111 DICKERSON PIKE,APN,
Drury Plaza Hotel Nashville Downtown-Bar,300 KOREAN VETERANS BLVD,300 KOREAN VETERANS BLVD,APN,
ERGO,1001 BROADWAY,1001 BROADWAY,APN,
Famous Nashville,110 2ND AVE N,110 2ND AVE N,APN,
FGL House,120 3RD AVE S,120 3RD AVE S,APN,
Flamingo Cocktail Club,509 HOUSTON ST,509 HOUSTON ST,APN,
Fort Houston (The Forge),217 WILLOW ST,217 WILLOW ST,APN,
Frist Center for the Visual Arts,919 BROADWAY,919 BROADWAY,APN,
Glen Campbell Museum and Rhinestone Stage,111 BROADWAY,111 BROADWAY,APN,
Grand Hyatt Nashville,1000 BROADWAY,1000 BROADWAY,APN,
Grand Ole Opry,2804 OPRYLAND DR,2804 OPRYLAND DR,APN,
Grimey's New & Preloved Music,1060 E TRINITY LN,1060 E TRINITY LN,APN,
Headquarters Beercade,114 2ND AVE S,114 2ND AVE S,APN,
Helen's Hot Chicken,1801 JEFFERSON ST,1801 JEFFERSON ST,APN,
HOME (Helping Our Music Evolve),615 MAIN ST,615 MAIN ST,APN,
HOME (Helping Our Music Evolve),615 MAIN ST,615 MAIN ST,APN,
Honky Tonk Central,329 BROADWAY,329 BROADWAY,APN,
Huba Huba Tiki Tonk,922 MAIN ST,922 MAIN ST,APN,
Inglewood Lounge,3914 GALLATIN PIKE,3914 GALLATIN PIKE,APN,
Island Vibes,1316 ANTIOCH PIKE,1316 ANTIOCH PIKE,APN,
Jefferson Street Jazz Street Festival,1215 9TH AVE N,1215 9TH AVE N,APN,
Jimmy Buffett's Margaritaville,322 BROADWAY,322 BROADWAY,APN,
Joe's Place,2227 BANDYWOOD DR,2227 BANDYWOOD DR,APN,
Johnny Cash's Kitchen & Saloon,121 3RD AVE S,121 3RD AVE S,APN,
Kid Rock's Big Honky Tonk Rock N' Roll Steakhouse,221 BROADWAY,221 BROADWAY,APN,
L27 Rooftop Lounge,807 CLARK PL,807 CLARK PL,APN,
Lab Canna,1106 GALLATIN AVE,1106 GALLATIN AVE,APN,
La Costa Mexican Seafood,5332 CANE RIDGE RD,5332 CANE RIDGE RD,APN,
Larry's Grand Ole Garage,549 E MAPLE ST,549 E MAPLE ST,APN,
Las Fogatas,5560 NOLENSVILLE PIKE,5560 NOLENSVILLE PIKE,APN,
Layla's Honky Tonk,418 BROADWAY,418 BROADWAY,APN,
Live Oak,1530 DEMONBREUN ST,1530 DEMONBREUN ST,APN,
Los Arcos,3798 NOLENSVILLE PIKE,3798 NOLENSVILLE PIKE,APN,
Loser Most Wanted Bar & Grill (Downtown),111 4TH AVE S,111 4TH AVE S,APN,
Lou|Na,1000 BROADWAY,1000 BROADWAY,APN,
Lucky Bastard Saloon,408 BROADWAY,408 BROADWAY,APN,
Luke's 32 Bridge Food & Drink,301 BROADWAY,301 BROADWAY,APN,
Marisqueria 7 Mares,931 RICHARDS RD,931 RICHARDS RD,APN,
Maxwell Lounge at Millenium Maxwell House Nashville,2025 ROSA L PARKS BLVD,2025 ROSA L PARKS BLVD,APN,
"Mellow Mushroom 
(Broadway)",423 BROADWAY,423 BROADWAY,APN,
Mickeys Tavern,2907 GALLATIN PIKE,2907 GALLATIN PIKE,APN,
