"","name","address_admin","APN","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","url","zip","county","city","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","y","x","interdisciplinarity_ord","event_promotion_ord","community_focus_ord","experimentation_ord"
"1","404 Bar & Grill","404 ELYSIAN FIELDS RD","13314008900","","1. Yes","150","3. Never","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely","","4. Very Likely","0","0","0","A hip atmosphere with diverse menu choices","","info@404barandgrill.com","(615) 331-8944","No website available","37211","Davidson","Nashville","No Genre Specifed","0","0","0","0","0","0","0","0","0","0","0","0","0",36.0867459635385,-86.7311009742086,3,3,2,4
"2","6th and Peabody","423 6TH AVE S","09310018800","","1. Yes","","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","2. Not too likely","4. Very Likely","","3. Somewhat likely","0","0","0","Beer Garden with Brewery and Live Music","","nash@osdistillery.com","(615) 647-8272","https://6thandpeabody.com/","37203","Davidson","Nashville","No Genre Specifed","0","0","0","0","0","0","0","0","0","0","0","0","0",36.1549571127237,-86.7770779937017,3,3,4,3
"3","Acme Feed & Seed","101 BROADWAY","09306210200","Marcus Dowling","1. Yes","500","2. Sometimes","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","4. Very Likely","","3. Somewhat likely","0","0","0","Multilevel venue with creative cuisine, cocktails, live music & special events plus a rooftop patio, dedicated to preserving Nashville's unique cultural and musical legacy, identity, and community","","marketing@theacmenashville.com","(615) 915-0888","https://www.acmefeedandseed.com/","37201","Davidson","Nashville","No Genre Specifed","0","0","0","0","0","0","0","0","0","0","0","0","0",36.1618880861058,-86.7743178542158,3,3,4,3
"4","AJ's Good Time Bar","421 BROADWAY","09306310800","Marcus Dowling","1. Yes","455","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely","","1.Not At All Likely","0","0","0","American singer Alan Jackson's urban honky-tonk offers 3 floors, live country music & a rooftop bar.","","info@ajsgoodtimebar.com","(615) 678-4808","https://www.ajsgoodtimebar.com/","37203","Davidson","Nashville","Country","0","0","0","1","0","0","1","0","0","0","0","0","0",36.1604318720598,-86.777814255199,1,3,2,1
"5","Aloft Nashville West End","1719 WEST END AVE","09216017400","","2. No","Null","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Loft-inspired hotel close to the downtown bar & music scene featuring live music in the hotel bar.","","","(615) 329-4200","https://www.marriott.com/en-us/hotels/bnawl-aloft-nashville-west-end/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.152661945071,-86.795413048273,1,1,1,1
"6","American Legion Post 82","3204 GALLATIN PIKE","07206025400","Marcus Dowling","1. Yes","120","2. Sometimes","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","American Legion Post, a veterans organization, that hosts nightly music events","","","(615) 228-3598","https://www.post82.org/","37216","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.2058088622012,-86.7356558300848,1,3,3,1
"7","Analog at Hutton Hotel","1808 WEST END AVE","09216043400","Eric Holt","2. No","300","2. Sometimes","3. 11-20 Events per month","2. 3-10 Years","","3. Somewhat likely","3. Somewhat likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","0","0","Cocktail lounge and club that features live music and entertainment in the Hutten Hotel. Their entertainment ranges from established acts and discovery concerts for up and coming artists.","","analog@huttonhotel.com","(615) 340-9333","https://www.analognashville.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1528693144705,-86.7970821692225,3,3,4,4
"8","Bar Sovereign","514 REP JOHN LEWIS WAY S","09310034700","","1. Yes","","2. Sometimes","1. 1-4 Events per month","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","Bar Sovereign is an eclectic cocktail bar known for trying to set itself apart from any other bar in Nashville. ","","","(615) 244-3174","https://barsovereign.com","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1549939517944,-86.7744172681069,1,1,3,3
"9","Barbershop Theater","4003 INDIANA AVE","09112021700","","2. No","","4. Information unavailable","1. 1-4 Events per month","2. 3-10 Years","1. Ticket sales","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0"," It is an affordable art space with a 50-75 seat house. It hosts performances from artists and theater companies from all around the Nashville area","","info@streettheatrecompany.org","(615) 306-6183","https://www.thebarbershoptheater.com/","37209","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1568154616949,-86.8346982245551,3,3,3,1
"10","Barlines (Omni Nashville Hotel)","250 REP JOHN LEWIS WAY S","093100B00300CO","","2. No","Null","1. Always","2. 5-10 Events per month","2. 3-10 Years","","2. Not too likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Bar and music venue with jumbo flat screen TVs and music 7 days a week and an award-winning menu of delectable Southern-inspired dishes and hand-crafted Tennessee libations.","","","(615) 782-5300","https://www.omnihotels.com/hotels/nashville/dining/barlines","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1574506499472,-86.7756317707792,2,1,1,1
