Venue_name,APN_Address,APN
Example Venue,402 12TH AVE S,"09313058100"
12 South Taproom & Grill,2318 12TH AVE S,"10513021100"
404 Bar & Grill,404 ELYSIAN FIELDS RD,"13314008900"
6th and Peabody,423 6TH AVE S,"09310018800"
Acme Feed & Seed,101 BROADWAY,"09306210200"
AJ's Good Time Bar,421 BROADWAY,"09306310800"
Aloft Nashville West End,1719 WEST END AVE,"09216017400"
American Legion Post 82,3204 GALLATIN PIKE,"07206025400"
Analog at Hutton Hotel,1808 WEST END AVE,"09216043400"
Bad Axe Throwing Nashville,648 FOGG ST,"09314032100"
Bar Sovereign,514 REP JOHN LEWIS WAY S,"09310034700"
Barbershop Harmony Society,110 7TH AVE N,"09306302800"
Barbershop Theater,4003 INDIANA AVE,"09112021700"
Barlines (Omni Nashville Hotel),250 REP JOHN LEWIS WAY S,093100B00300CO
Big Jimmy's,109 2ND AVE N,"09306204700"
Big Shotz,115 2ND AVE N,"09306205000"
Bobby's Idle Hour Tavern,9 MUSIC SQ S,"10404013000"
Bongo Java After Hours Theatre,2007 BELMONT BLVD,"10412028200"
Bootleggers Inn,207 BROADWAY,"09306404600"
Bowie's,174 3RD AVE N,"09306200200"
Bridgestone Arena,501 BROADWAY,"09306000800"
Cafe Coco,210 LOUISE AVE,"09215010600"
Caney Fork River Valley Grille,2400 MUSIC VALLEY DR,"06200011800"
Cannery Hall (to be opened),1 CANNERY ROW,"09314000200"
Carol Ann<92>s,407 MURFREESBORO PIKE,"10601010900"
Chief's on Broadway,200 BROADWAY,"09306204400"
Commodore Grille (Holiday Inn Vanderbilt),2613 WEST END AVE,"10403006300"
Corner Bar at Elliston Place,2200 ELLISTON PL,"09215011300"
Cross-Eyed Critters Watering Hole,101 20TH AVE N,"09216004000"
Crow's Nest,2221 BANDYWOOD DR,"11714012500"
Dawg House Saloon,1522 DEMONBREUN ST,"09309025900"
Decker & Dyer,807 CLARK PL,"09310003200"
Dee's Country Cocktail Lounge,102 E PALESTINE AVE,"05108011200"
Dierks Bentley's Whiskey Row Nashville,400 BROADWAY,"09306308200"
Doc Holidays,112 2ND AVE N,"09306208400"
Dream Nightclub,210 4TH AVE N,"09306105700"
Drkmttr Collective,1111 DICKERSON PIKE,"08203000500"
Drury Plaza Hotel Nashville Downtown-Bar,300 KOREAN VETERANS BLVD,"09310039700"
ERGO,1001 BROADWAY,"09309032600"
Famous Nashville,110 2ND AVE N,"09306208500"
FGL House,120 3RD AVE S,"09306405500"
Flamingo Cocktail Club,509 HOUSTON ST,"10503018500"
Fort Houston (The Forge),217 WILLOW ST,"09312002700"
Frist Center for the Visual Arts,919 BROADWAY,"09309031000"
Glen Campbell Museum and Rhinestone Stage,111 BROADWAY,"09306210000"
Grand Hyatt Nashville,1000 BROADWAY,"09309034300"
Grand Ole Opry,2804 OPRYLAND DR,"07300003700"
Grimey's New & Preloved Music,1060 E TRINITY LN,"07206022000"
Headquarters Beercade,114 2ND AVE S,"09306405800"
Helen's Hot Chicken,1801 JEFFERSON ST,"09203023800"
HOME (Helping Our Music Evolve),615 MAIN ST,"08216000400"
HOME (Helping Our Music Evolve),615 MAIN ST,"06405003400"
Honky Tonk Central,329 BROADWAY,"09306401500"
Huba Huba Tiki Tonk,922 MAIN ST,"08212031200"
Inglewood Lounge,3914 GALLATIN PIKE,"06115023500"
Island Vibes,1316 ANTIOCH PIKE,"13415000500"
Jefferson Street Jazz Street Festival,1215 9TH AVE N,"08116021300"
Jimmy Buffett's Margaritaville,322 BROADWAY,"09306400100"
Joe's Place,2227 BANDYWOOD DR,"11714012300"
Johnny Cash's Kitchen & Saloon,121 3RD AVE S,"09306403100"
Kid Rock's Big Honky Tonk Rock N' Roll Steakhouse,221 BROADWAY,"09306404100"
L27 Rooftop Lounge,807 CLARK PL,"09310003200"
Lab Canna,1106 GALLATIN AVE,"08301008700"
La Costa Mexican Seafood,5332 CANE RIDGE RD,"16300027400"
Larry's Grand Ole Garage,549 E MAPLE ST,"04314003600"
Las Fogatas,5560 NOLENSVILLE PIKE,"16100030500"
Layla's Honky Tonk,418 BROADWAY,"09306307500"
Live Oak,1530 DEMONBREUN ST,"09313001000"
Los Arcos,3798 NOLENSVILLE PIKE,"13300011600"
Loser Most Wanted Bar & Grill (Downtown),111 4TH AVE S,"09306400800"
Lou|Na,1000 BROADWAY,"09309034300"
Lucky Bastard Saloon,408 BROADWAY,"09306308000"
Luke's 32 Bridge Food & Drink,301 BROADWAY,"09306402700"
Marisqueria 7 Mares,931 RICHARDS RD,"14800029500"
Maxwell Lounge at Millenium Maxwell House Nashville,2025 ROSA L PARKS BLVD,"08104022200"
"Mellow Mushroom 
(Broadway)",423 BROADWAY,"09306310700"
Mickeys Tavern,2907 GALLATIN PIKE,"07206023400"
Music City Bar & Grill,2416 MUSIC VALLEY DR,"06200023300"
Music City Center,201 REP JOHN LEWIS WAY S,"09310047300"
Music City Walk of Fame Park,121 4TH AVE S,093064B00100CO
Musicians Corner,2500 WEST END AVE,"09214007600"
Nashville Farmers' Market,900 ROSA L PARKS BLVD,"08213036600"
Nashville Jazz Workshop,1012 BUCHANAN ST,"08107051800"
Nashville Municipal Auditorium,417 4TH AVE N,"09302001300"
Nashville Nightlife Theater,2416 MUSIC VALLEY DR,"06200023300"
Nashville Underground,105 BROADWAY,"09306210100"
Nashville's War Memorial Auditorium,301 6TH AVE N,"09301008100"
Nectar Urban Cantina,206 MCGAVOCK PIKE,"09504003100"
Neighbors of Sylvan Park,4425 MURPHY RD,"10308005400"
Nissan Stadium,1 TITANS WAY,"09303006600"
Noble's East Nashville,974 MAIN ST,"08309019300"
Nudie's Honky Tonk,409 BROADWAY,"09306400600"
Old Glory,1200 VILLA PL,"10501023300"
Ole Red,300 BROADWAY,"09306202900"
Opry Backstage Grill,2401 MUSIC VALLEY DR,"06200002900"
"Out Loud Music Festival; Tomato Art Fest",14 JAMES ROBERTSON PKWY,"08215006700"
Outback Presents,209 10TH AVE S,"09309032000"
Oz Arts Nashville,6172 COCKRILL BEND CIR,"07900009400"
Phat Bites Deli & Bar,2730 LEBANON PIKE,"09601001000"
Plaza Mariachi,3955 NOLENSVILLE PIKE,"13315015400"
Ray Stevens CabaRay,5724 RIVER RD,"10200001200"
Red Door Saloon,1816 DIVISION ST,"09216022300"
Red Door Saloon East,1010 FORREST AVE,"08309012700"
Redneck Riviera,208 BROADWAY,"09306211100"
Renaissance Nashville Hotel-Bridge Bar,611 COMMERCE ST,"09306311900"
Rippy's Smokin' Bar & Grill,429 BROADWAY,"09306310400"
