"","name","address_admin","APN","url","zip","county","city","y","x"
"1","Example Venue","402 12TH AVE S","09313058100","examplevenue.com",37203,"Davidson","Nashville",36.1525861232894,-86.7844400713344
"2","12 South Taproom & Grill","2318 12TH AVE S","10513021100","https://www.12southtaproom.com/",37204,"Davidson","Nashville",36.126469479008,-86.7888474802272
"3","404 Bar & Grill","404 ELYSIAN FIELDS RD","13314008900","No website available",37211,"Davidson","Nashville",36.0867459635385,-86.7311009742086
"4","6th and Peabody","423 6TH AVE S","09310018800","https://6thandpeabody.com/",37203,"Davidson","Nashville",36.1549571127237,-86.7770779937017
"5","Acme Feed & Seed","101 BROADWAY","09306210200","https://www.acmefeedandseed.com/",37201,"Davidson","Nashville",36.1618880861058,-86.7743178542158
"6","AJ's Good Time Bar","421 BROADWAY","09306310800","https://www.ajsgoodtimebar.com/",37203,"Davidson","Nashville",36.1604318720598,-86.777814255199
"7","Aloft Nashville West End","1719 WEST END AVE","09216017400","https://www.marriott.com/en-us/hotels/bnawl-aloft-nashville-west-end/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0",37203,"Davidson","Nashville",36.152661945071,-86.795413048273
"8","American Legion Post 82","3204 GALLATIN PIKE","07206025400","https://www.post82.org/",37216,"Davidson","Nashville",36.2058088622012,-86.7356558300848
"9","Analog at Hutton Hotel","1808 WEST END AVE","09216043400","https://www.analognashville.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings",37203,"Davidson","Nashville",36.1528693144705,-86.7970821692225
"10","Bad Axe Throwing Nashville","648 FOGG ST","09314032100","https://badaxethrowing.com/locations/axe-throwing-nashville/",37203,"Davidson","Nashville",36.1511155695785,-86.7773965322608
"11","Bar Sovereign","514 REP JOHN LEWIS WAY S","09310034700","https://barsovereign.com",37203,"Davidson","Nashville",36.1549939517944,-86.7744172681069
"12","Barbershop Harmony Society","110 7TH AVE N","09306302800","https://www.barbershop.org/",37203,"Davidson","Nashville",36.1600819288919,-86.7808765196033
"13","Barbershop Theater","4003 INDIANA AVE","09112021700","https://www.thebarbershoptheater.com/",37209,"Davidson","Nashville",36.1568154616949,-86.8346982245551
"14","Barlines (Omni Nashville Hotel)","250 REP JOHN LEWIS WAY S","093100B00300CO","https://www.omnihotels.com/hotels/nashville/dining/barlines",37203,"Davidson","Nashville",36.1574506499472,-86.7756317707792
"15","Big Jimmy's","109 2ND AVE N","09306204700","https://www.bigjimmysburgers.com/",37201,"Davidson","Nashville",36.1621031575084,-86.7756227756532
"16","Big Shotz","115 2ND AVE N","09306205000","No website available",37201,"Davidson","Nashville",36.1623044890624,-86.7757626502771
"17","Bobby's Idle Hour Tavern","9 MUSIC SQ S","10404013000","https://www.bobbysidlehour.com/",37203,"Davidson","Nashville",36.1465406716453,-86.7933100100686
"18","Bongo Java After Hours Theatre","2007 BELMONT BLVD","10412028200","https://www.bongo.coffee/pages/bongo-java",37212,"Davidson","Nashville",36.1321772365265,-86.7958968469065
"19","Bootleggers Inn","207 BROADWAY","09306404600","https://www.bootleggersnashville.com/",37201,"Davidson","Nashville",36.1614668811981,-86.775272560589
"20","Bowie's","174 3RD AVE N","09306200200","https://www.bowiesnashville.com/",37201,"Davidson","Nashville",36.1638786655697,-86.7771900843685
"21","Bridgestone Arena","501 BROADWAY","09306000800","https://www.bridgestonearena.com/",37203,"Davidson","Nashville",36.1591353948432,-86.778488782246
"22","Cafe Coco","210 LOUISE AVE","09215010600","https://cafecoco.com/",37203,"Davidson","Nashville",36.1519124334247,-86.8048933986249
"23","Caney Fork River Valley Grille","2400 MUSIC VALLEY DR","06200011800","https://www.caneyforkrestaurant.com/",37214,"Davidson","Nashville",36.2176199269501,-86.6967520749508
"24","Cannery Hall (to be opened)","1 CANNERY ROW","09314000200","https://www.canneryhall.com/",37203,"Davidson","Nashville",36.1528900102878,-86.7803029695665
"25","Carol Ann<92>s","407 MURFREESBORO PIKE","10601010900","https://www.facebook.com/CarolAnnsCafe/",37210,"Davidson","Nashville",36.143954350951,-86.7488757222498
"26","Chief's on Broadway","200 BROADWAY","09306204400","https://www.chiefsonbroadway.com/",37201,"Davidson","Nashville",36.1619527296275,-86.7755247235497
"27","Commodore Grille (Holiday Inn Vanderbilt)","2613 WEST END AVE","10403006300","No website available",37203,"Davidson","Nashville",36.1445825015921,-86.8108302559451
"28","Corner Bar at Elliston Place","2200 ELLISTON PL","09215011300","No website available",37203,"Davidson","Nashville",36.1518683047222,-86.8041904012834
"29","Cross-Eyed Critters Watering Hole","101 20TH AVE N","09216004000","https://www.graduatehotels.com/nashville/restaurant/cross-eyed-critters-watering-hole/",37203,"Davidson","Nashville",36.151547131284,-86.7998395876304
"30","Crow's Nest","2221 BANDYWOOD DR","11714012500","https://www.crowsnestnashville.com/",37215,"Davidson","Nashville",36.1045236029655,-86.8187295121109
"31","Dawg House Saloon","1522 DEMONBREUN ST","09309025900","https://www.coldbeerentertainment.com/dawghouse-nashville/",37203,"Davidson","Nashville",36.1531461183899,-86.7903343994416
"32","Decker & Dyer","807 CLARK PL","09310003200","",37203,"Davidson","Nashville",36.1552214736199,-86.7804527666213
"33","Dee's Country Cocktail Lounge","102 E PALESTINE AVE","05108011200","https://deeslounge.com/",37115,"Davidson","Nashville",36.2488564896071,-86.7184944819131
"34","Dierks Bentley's Whiskey Row Nashville","400 BROADWAY","09306308200","https://dierkswhiskeyrow.com/nashville-tn/",37203,"Davidson","Nashville",36.1611753321649,-86.7774760873477
"35","Doc Holidays","112 2ND AVE N","09306208400","https://www.dochollidaysnashville.com/",37201,"Davidson","Nashville",36.1625265361214,-86.7750522603822
"36","Dream Nightclub","210 4TH AVE N","09306105700","https://www.dreamhotels.com/nashville/dining-nightlife",37219,"Davidson","Nashville",36.1642171540611,-86.7788674044819
"37","Drkmttr Collective","1111 DICKERSON PIKE","08203000500","https://drkmttrcollective.com/",37207,"Davidson","Nashville",36.1909166111932,-86.7724870787995
"38","Drury Plaza Hotel Nashville Downtown-Bar","300 KOREAN VETERANS BLVD","09310039700","https://www.druryhotels.com/locations/nashville-tn/drury-plaza-hotel-nashville-downtown?utm_campaign=gmb-website&utm_medium=organic&utm_source=google",37201,"Davidson","Nashville",36.1578508253659,-86.773979294629
"39","ERGO","1001 BROADWAY","09309032600","https://www.unionstationhotelnashville.com/eat-drink/ergo/",37203,"Davidson","Nashville",36.1573223471702,-86.7846676662486
"40","Famous Nashville","110 2ND AVE N","09306208500","https://famousnashville.com/",37201,"Davidson","Nashville",36.1624631647424,-86.7750121502218
"41","FGL House","120 3RD AVE S","09306405500","https://fglhouse.com/",37201,"Davidson","Nashville",36.1608642679595,-86.7752057314528
"42","Flamingo Cocktail Club","509 HOUSTON ST","10503018500","http://flamingococktailclub.com/",37203,"Davidson","Nashville",36.1427459525593,-86.7683298971658
"43","Fort Houston (The Forge)","217 WILLOW ST","09312002700","https://www.theforgenashville.org/",37210,"Davidson","Nashville",36.1545318672447,-86.754730429038
"44","Frist Center for the Visual Arts","919 BROADWAY","09309031000","https://fristartmuseum.org/",37203,"Davidson","Nashville",36.1575195716683,-86.7836211063589
"45","Glen Campbell Museum and Rhinestone Stage","111 BROADWAY","09306210000","https://www.glencampbellmuseum.com/",37201,"Davidson","Nashville",36.1617099337122,-86.7747257028291
"46","Grand Hyatt Nashville","1000 BROADWAY","09309034300","https://www.hyatt.com/en-US/hotel/tennessee/grand-hyatt-nashville/bnarn",37203,"Davidson","Nashville",36.1582885457808,-86.7849326038148
"47","Grand Ole Opry","2804 OPRYLAND DR","07300003700","http://www.opry.com/",37214,"Davidson","Nashville",36.2065821817348,-86.6918672071492
"48","Grimey's New & Preloved Music","1060 E TRINITY LN","07206022000","https://www.grimeys.com/",37216,"Davidson","Nashville",36.2033682490864,-86.7411023901006
"49","Headquarters Beercade","114 2ND AVE S","09306405800","https://www.hq-nashville.com/",37201,"Davidson","Nashville",36.1614224141439,-86.774556137916
"50","Helen's Hot Chicken","1801 JEFFERSON ST","09203023800","https://www.helenshotchicken.com/#",37208,"Davidson","Nashville",36.1690725027122,-86.8072143887363
"51","HOME (Helping Our Music Evolve)","615 MAIN ST","08216000400","https://homeformusic.org/",37206,"Davidson","Nashville",36.1745081537032,-86.7619033936827
"52","HOME (Helping Our Music Evolve)","615 MAIN ST","08216000400","https://homeformusic.org/",37206,"Davidson","Nashville",36.2261601219178,-86.6294240566079
"53","HOME (Helping Our Music Evolve)","615 MAIN ST","06405003400","https://homeformusic.org/",37206,"Davidson","Nashville",36.1745081537032,-86.7619033936827
"54","HOME (Helping Our Music Evolve)","615 MAIN ST","06405003400","https://homeformusic.org/",37206,"Davidson","Nashville",36.2261601219178,-86.6294240566079
"55","Honky Tonk Central","329 BROADWAY","09306401500","http://www.honkytonkcentral.com/",37201,"Davidson","Nashville",36.1608682495855,-86.7768349547931
"56","Huba Huba Tiki Tonk","922 MAIN ST","08212031200","https://www.hubbahubbatikitonk.com/",37206,"Davidson","Nashville",36.1763878243587,-86.7551932002404
"57","Inglewood Lounge","3914 GALLATIN PIKE","06115023500","http://inglewoodlounge.com",37216,"Davidson","Nashville",36.2168910781425,-86.728400882218
"58","Island Vibes","1316 ANTIOCH PIKE","13415000500","https://islandvibes615.com/",NA,"Davidson","Nashville",36.0851243163491,-86.6896752814547
"59","Jefferson Street Jazz Street Festival","1215 9TH AVE N","08116021300","https://www.nashvillejazzandbluesfest.com/contactus/",37208,"Davidson","Nashville",36.1744637829759,-86.7938770460565
"60","Jimmy Buffett's Margaritaville","322 BROADWAY","09306400100","https://www.margaritavillenashville.com/",37201,"Davidson","Nashville",36.1613821029264,-86.7771977745405
"61","Joe's Place","2227 BANDYWOOD DR","11714012300","No website available",37215,"Davidson","Nashville",36.1046855345253,-86.8191156499444
"62","Johnny Cash's Kitchen & Saloon","121 3RD AVE S","09306403100","https://www.cashbarandbbq.com/",37201,"Davidson","Nashville",36.1607275130203,-86.7757304029603
"63","Kid Rock's Big Honky Tonk Rock N' Roll Steakhouse","221 BROADWAY","09306404100","https://www.kidrockshonkytonkandsteakhouse.com/",37201,"Davidson","Nashville",36.1613459285107,-86.7756650800544
"64","L27 Rooftop Lounge","807 CLARK PL","09310003200","https://www.l27nashville.com/",37203,"Davidson","Nashville",36.1552214736199,-86.7804527666213
"65","Lab Canna","1106 GALLATIN AVE","08301008700","https://labcanna.com/",37206,"Davidson","Nashville",36.1898984078147,-86.7459121027437
